file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,70,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,14
style.css,71,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,12
style.css,72,css,fd23b983,Xcysteven,2025-11-13,23:12:42,-08:00,2025-11-13T23:12:42-08:00,0,0
style.css,73,css,fd23b983,Xcysteven,2025-11-13,23:12:42,-08:00,2025-11-13T23:12:42-08:00,0,0
style.css,74,css,fd23b983,Xcysteven,2025-11-13,23:12:42,-08:00,2025-11-13T23:12:42-08:00,0,8
style.css,75,css,fd23b983,Xcysteven,2025-11-13,23:12:42,-08:00,2025-11-13T23:12:42-08:00,1,11
style.css,76,css,fd23b983,Xcysteven,2025-11-13,23:12:42,-08:00,2025-11-13T23:12:42-08:00,1,15
style.css,77,css,fd23b983,Xcysteven,2025-11-13,23:12:42,-08:00,2025-11-13T23:12:42-08:00,1,19
style.css,78,css,fd23b983,Xcysteven,2025-11-13,23:12:42,-08:00,2025-11-13T23:12:42-08:00,1,14
style.css,79,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,80,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,81,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,39
style.css,82,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,8
style.css,83,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,16
style.css,84,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,12
style.css,85,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,86,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,87,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,8
style.css,88,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,10
style.css,89,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,16
style.css,90,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,5
style.css,91,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,16
style.css,92,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,93,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,94,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,16
style.css,95,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,12
style.css,96,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,14
style.css,97,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,98,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,99,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,5
style.css,100,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,4
style.css,101,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,10
style.css,102,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,55
style.css,103,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,5
style.css,104,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,9
style.css,105,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,39
style.css,106,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,13
style.css,107,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,15
style.css,108,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,109,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,110,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,8
style.css,111,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,10
style.css,112,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,16
style.css,113,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,7
style.css,114,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,23
style.css,115,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,116,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,117,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,5
style.css,118,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,18
style.css,119,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,7
style.css,120,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,8
style.css,121,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,27
style.css,122,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,39
style.css,123,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,124,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,125,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,46
style.css,126,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,34
style.css,127,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,9
style.css,128,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,129,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,130,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,2
style.css,131,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,14
style.css,132,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,12
style.css,133,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,134,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,135,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,7
style.css,136,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,33
style.css,137,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,138,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,0
style.css,139,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,0,16
style.css,140,css,69297d79,Xcysteven,2026-05-02,19:19:01,-07:00,2026-05-02T19:19:01-07:00,1,15
style.css,141,css,280d4345,Xcysteven,2026-05-08,14:28:33,-07:00,2026-05-08T14:28:33-07:00,0,0
style.css,142,css,280d4345,Xcysteven,2026-05-08,14:28:33,-07:00,2026-05-08T14:28:33-07:00,0,0
style.css,143,css,280d4345,Xcysteven,2026-05-08,14:28:33,-07:00,2026-05-08T14:28:33-07:00,0,34
style.css,144,css,280d4345,Xcysteven,2026-05-08,14:28:33,-07:00,2026-05-08T14:28:33-07:00,0,0
style.css,145,css,280d4345,Xcysteven,2026-05-08,14:28:33,-07:00,2026-05-08T14:28:33-07:00,0,20
